event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE62306,11/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Abasan al Kabirah,31.3191,34.3401,1,Quds News Network,National,"On 1 November 2024, Israeli warplanes struck a land hosting tents of displaced people in Abasan al Kabirah (Khan Yunis, Gaza Strip), causing injuries.",0,,1753956638
PSE62316,11/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,2,Palestine News and Information Agency; Quds News Network,National,"On 1 November 2024, Israeli UAVs struck near the entrances of An Nusayrat and Al Burayj (Deir El Balah, Gaza Strip), causing injuries.",0,,1753956638
PSE62335,11/1/2024,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Maghazi,31.4214,34.3865,2,Quds News Network,National,"On 1 November 2024, Israeli artillery shelled a house south of Al Maghazi Camp (Deir El Balah, Gaza Strip). Casualties unknown.",0,,1753956638
PSE62353,11/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Qararah,31.3739,34.3409,2,Ma'an News Agency; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 November 2024, Israeli warplanes struck 2 passing cars west of Al Qararah (Khan Yunis, Gaza Strip), killing 3 Palestinians. Also, the artillery shelled east of Al Qararah [casualties unknown]. Fatalities coded at least 3.",3,,1753956638
PSE62369,11/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat,31.4486,34.3925,1,Palestine News and Information Agency; Quds News Network; UNSC,Other-National,"On 1 November 2024, Israeli warplanes struck the An Nusayrat Camp (Deir El Balah, Gaza Strip), killing 3 Palestinians including a child and injuring others. Also, 12 Palestinians were killed and dozens were injured in an airstrike that targeted a school hosting displaced people in the camp. In addition, another 3 persons [including 2 children] were killed in an airstrike that targeted a house. Total fatalities were 18.",18,,1757377137
PSE62377,11/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat - North,31.4591,34.3923,1,Al Ghad (Jordan); Palestine News and Information Agency; Quds News Network,National-Regional,"On 1 November 2024, Israeli airstrikes and shelling continued on An Nusayrat - North (Deir El Balah, Gaza Strip), killing at least 14 persons and injuring at least 69 more. Also, 3 persons were killed in an airstrike that targeted a house. Total fatalities coded as at least 17.",17,,1753956638
PSE62387,11/1/2024,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat - West,31.4525,34.3756,1,Quds News Network,National,"On 1 November 2024, Israeli gunboats opened fire toward the An Nusayrat - West (Deir El Balah, Gaza Strip). Casualties unknown. Also, artillery shelled a house, causing injuries.",0,,1753956638
PSE62443,11/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Beit Lahiya,31.5541,34.5016,2,Quds News Network,National,"On 1 November 2024, Israeli UAVs opened fire at houses west of Beit Lahiya town (North Gaza, Gaza Strip). Casualties unknown.",0,,1753956638
PSE62452,11/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Beit Lahiya - Al Mashroo,31.5433,34.4998,1,Ma'an News Agency; Palestine News and Information Agency; Quds News Network,National,"On 1 November 2024, Israeli warplanes struck several targets in Beit Lahiya - Al Mashroo (North Gaza, Gaza Strip), killing 5 Palestinians and injuring others.",5,,1753956638
PSE62453,11/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Beit Lahiya - Al Mashroo,31.5433,34.4998,2,Quds News Network,National,"On 1 November 2024, Israeli tanks opened fire toward houses west of Beit Lahiya - Al Mashroo (North Gaza, Gaza Strip). Casualties unknown. Also, UAVs opened fire at displaced people who were trying to go to their houses south of Beit Lahiya - Al Mashroo, leaving several injures.",0,,1753956638
PSE62490,11/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Journalists (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza,31.5045,34.4743,1,Guardian (United Kingdom); International Federation of Journalists; Palestine News and Information Agency; Quds News Network,Other-National,"On 1 November 2024, Israeli warplanes struck a gathering near the Firas Market in Gaza City (Gaza Strip), killing 4 Palestinians, among them a journalist.",4,,1759790002
PSE62523,11/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Sheikh Radwan,31.5349,34.4667,1,Newpress; Quds News Network; Twitter,New media-National,"On 1 November 2024, Israeli UAVs opened fire and dropped bombs on the Market of Gaza - Sheikh Radwan (Gaza City, Gaza Strip), killing a Palestinian and causing injuries.",1,,1759790002
PSE62528,11/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Shujaiyya,31.4988,34.4699,1,Palestine News and Information Agency; Quds News Network,National,"On 1 November 2024, Israeli warplanes struck a gathering in Baghdad Street in Gaza - Shujaiyya (Gaza City, Gaza Strip), killing 2 Palestinians and injuring others.",2,,1759790002
PSE62566,11/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Jabalya,31.5272,34.4835,1,Palestine News and Information Agency; Quds News Network,National,"On 1 November 2024, Israeli warplanes struck the Rafei School hosting displaced people in Jabalya town (North Gaza, Gaza Strip), leaving fatalities and injuries. Also, warplanes struck a house, killing a number of Palestinians. Unspecified number of fatalities coded as 3.",3,,1759790002
