event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE67548,2/10/2025,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khuzaa,31.3069,34.3572,1,Quds News Network,National,"On 10 February 2025, Israeli forces opened fire eastern Khuzaa (Khan Yunis, Gaza Strip), resulting in one injury. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2024.",0,,1753956656
PSE67555,2/10/2025,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Tal as Sultan,31.3098,34.2414,1,Palestine News and Information Agency,National,"On 10 February 2025, Israeli snipers opened fire at a group of people in Al Odeh area in Rafah City coded to Tal as Sultan (Rafah, Gaza Strip), resulting three injuries. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2024.",0,,1762829569
PSE67561,2/11/2025,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Fukhari,31.2952,34.3332,1,Quds News Network,National,"On 11 February 2025, Israeli artillery heavily shelled residential homes and lands eastern Al Fukhari town (Khan Yunis, Gaza Strip), casualties unknown. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2024.",0,,1753956656
PSE67567,2/11/2025,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Ash Shaykh Ijlin,31.5098,34.4274,2,Liveuamap,Local partner-New media,"On 11 February 2025, an Israeli drone dropped a bomb on a vehicle [likely moving] on Al Rashid Street coded to Gaza - Ash Shaykh Ijlin (Gaza City, Gaza Strip) Strip), casualties unknown. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2024.",0,,1753956656
PSE67575,2/11/2025,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Tal as Sultan,31.3098,34.2414,2,Dunia Al Watan; Liveuamap; Palestine News and Information Agency,Local partner-New media,"On 11 February 2025, an Israeli tank opened fire close to Al Saudi neighbourhood west of Rafah, coded to Tal as Sultan (Rafah, Gaza Strip), resulting in one man being killed. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2024.",1,,1762829569
PSE67576,2/11/2025,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Tal as Sultan,31.3098,34.2414,1,Palestine News and Information Agency,National,"On 11 February 2025, Israeli forces opened fire close to Midan Al Odeh in central Rafah coded to Tal as Sultan (Rafah, Gaza Strip), resulting in two men being injured. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2024.",0,,1762829569
PSE67577,2/11/2025,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Tal as Sultan,31.3098,34.2414,1,Ma'an News Agency; Quds News Network,National,"On 11 February 2025, Israeli forces opened fire in Tal as Sultan (Rafah, Gaza Strip), resulting in one man killed [died due to his injuries]. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2024.",1,,1762829569
PSE67568,2/11/2025,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Ijdeedeh,31.4984,34.4978,1,Ma'an News Agency,National,"On 11 February 2025, Israeli forces opened fire east of Shujaiyya coded to Gaza - Ijdeedeh (Gaza City, Gaza Strip), resulting in one man killed. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2024.",1,,1753956656
PSE67582,2/12/2025,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,East Garage,31.2788,34.256,1,Ma'an News Agency,National,"On 12 February 2025, an Israeli sniper opened fire at two men in Al Karaj Al Sharqi (East Garage) (Rafah, Gaza Strip), resulting in injuries [one man was shot twice in the back and the other was shot in the foot]. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2024.",0,,1753956656
PSE67586,2/12/2025,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Shokat as Sufi,31.2586,34.2824,1,Quds News Network,National,"On 12 February 2025, Israeli warplanes struck Shokat as Sufi town (Rafah, Gaza Strip), resulting in one man being killed and another injured. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2024.",1,,1753956656
