event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE64617,12/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Mawasi (Khan Yunis),31.3482,34.2547,2,Palestine News and Information Agency; Quds News Network,National,"On 1 December 2024, Israeli warplanes struck a tent belonging to displaced people near Bir 19 southwest of (Al Mawasi (Khan Yunis), Gaza Strip), killing 2 children and injuring others.",2,,1762829569
PSE64619,12/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat - North,31.4591,34.3923,1,Palestine News and Information Agency; Quds News Network,National,"On 1 December 2024, Israeli warplanes struck a house in the Al Mufti area in An Nusayrat - North (Deir El Balah, Gaza Strip), killing one Palestinian.",1,,1753956656
PSE64621,12/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - Ash Sheikh Naser,31.3398,34.3116,2,Palestine News and Information Agency; Quds News Network,National,"On 1 December 2024, Israeli UAV struck a passing motorcycle at Salah al-Din street near Khan Yunis - Ash Sheikh Naser (Khan Yunis, Gaza Strip), killing 2 persons.",2,,1753956656
PSE64622,12/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Nasr,31.534,34.4574,1,Palestine News and Information Agency,National,"On 1 December 2024, Israeli warplanes struck a gathering near the Lababidi junction in Gaza - Nasr (Gaza City, Gaza Strip), causing injuries.",0,,1753956656
PSE64623,12/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Southern Remal,31.5168,34.4355,2,Palestine News and Information Agency,National,"On 1 December 2024, an Israeli UAV hit Al-Wahda Street near the Thai Restaurant west of Gaza City, coded to Gaza - Southern Remal (Gaza City, Gaza Strip), killing 3 Palestinians. Also, 5 persons were killed in an airstrike that targeted the Al Thawra street west of Gaza City (coded to this location). Total fatalities were 8.",8,,1759790002
PSE64624,12/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Ash Shati' Camp,31.5349,34.4466,1,Palestine News and Information Agency,National,"On 1 December 2024, an Israeli UAV struck near the Al Wehda street in Gaza - Ash Shati' Camp (Gaza City, Gaza Strip), killing a Palestinian.",1,,1759790002
PSE64626,12/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Beit Lahiya - Al Mashroo,31.5433,34.4998,1,Palestine News and Information Agency,National,"On 1 December 2024, Israeli warplanes struck a house in Beit Lahiya - Al Mashroo (North Gaza, Gaza Strip), killing 10 Palestinians.",10,,1753956656
PSE64625,12/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Jabalya,31.5272,34.4835,1,Palestine News and Information Agency,National,"On 1 December 2024, Israeli warplanes struck a house in Jabalya Nazalah in the town of Jabalya (North Gaza, Gaza Strip), causing a number of injuries.",0,,1759790002
PSE64636,12/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Az Zaytun,31.4964,34.4522,1,Quds News Network,National,"On 1 December 2024, Israeli warplanes struck in Gaza - Az Zaytun (Gaza City, Gaza Strip), killing 2 persons.",2,,1759790002
PSE64637,12/1/2024,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Sheikh Zaid,31.5392,34.5117,1,Quds News Network,National,"On 1 December 2024, Israeli tanks opened fire at houses in Sheikh Zaid (North Gaza, Gaza Strip). Casualties unknown.",0,,1759790002
PSE64618,12/1/2024,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Rafah Camp,31.2847,34.2546,1,Palestine News and Information Agency; Quds News Network,National,"On 1 December 2024, Israeli forces (likely tanks) opened fire and killed 4 Palestinians in Al Shabourah Camp in Rafah Camp (Rafah, Gaza Strip) as some displaced residents returned to search the ruins for essentials.",4,,1753956656
PSE64620,12/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - Jourat Al-Loot,31.3314,34.3004,1,Palestine News and Information Agency,National,"On 1 December 2024, Israeli warplanes struck a gathering in Khan Yunis - Jourat Al-Loot (Khan Yunis, Gaza Strip), killing 4 Palestinians.",4,,1753956656
PSE64401,12/2/2024,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Musaddar,31.4105,34.378,2,Palestine News and Information Agency; Quds News Network,National,"On 2 December 2024, Israeli artillery fired heavily on east of Al Musaddar (Deir El Balah, Gaza Strip) killing one man.",1,,1765850627
PSE64403,12/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza,31.5045,34.4743,1,Palestine News and Information Agency; Quds News Network,National,"On 2 December 2024, an Israeli drone targeted al Jalaa Street in Gaza (Gaza City, Gaza Strip) killing 2 people and injuring others. On the same day, Israeli warplanes targeted a store in Omar al Mokhtar Street in Gaza, also killing 2 people and injuring others. Israeli warplanes launched another airstrike on the city during the day. Casualties unknown. Total confirmed fatalities is at least 4.",4,,1759790002
PSE64405,12/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Sabra,31.5086,34.4493,1,Palestine News and Information Agency,National,"On 2 December 2024, Israeli forces, likely warplanes, targeted a group of Palestinians in Gaza - Sabra (Gaza City, Gaza Strip) killing 2 and injuring others.",2,,1759790002
PSE64406,12/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Southern Remal,31.5168,34.4355,2,Palestine News and Information Agency; Quds News Network,National,"On 2 December 2024, Israeli artillery and warplanes targeted a house in Industrial junction, west of Gaza city, coded to Gaza - Southern Remal (Gaza City, Gaza Strip) injuring several people and causing a fire on a targeted house.",0,,1759790002
PSE64414,12/2/2024,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Beit Lahiya - Al Mashroo,31.5433,34.4998,1,Quds News Network,National,"On 2 December 2024, Israeli military, likely shelling, targeted a residential building in Beit Lahiya - Al Mashroo (North Gaza, Gaza Strip). Casualties unknown. On the same day, an Israeli sniper killed a man in the same location. Total confirmed fatalities is at least 1.",1,,1753956656
PSE64416,12/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,1,Newpress; Quds News Network; Twitter,New media-National,"On 2 December 2024, Israeli warplanes targeted a house in Block 9 of Al Burayj camp (Deir El Balah, Gaza Strip) injuring several people.",0,,1753956656
PSE64419,12/2/2024,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Maghazi,31.4214,34.3865,2,Quds News Network,National,"On 2 December 2024, Israeli artillery targeted a house in south of Al Maghazi camp (Deir El Balah, Gaza Strip) injuring several people.",0,,1753956656
PSE64420,12/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat,31.4486,34.3925,1,Quds News Network,National,"On 2 December 2024, an Israeli drone targeted a house in the southern part of An Nusayrat camp (Deir El Balah, Gaza Strip) killing 1 woman and injuring others.",1,,1753956656
PSE64423,12/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Sheikh Radwan,31.5349,34.4667,1,Liveuamap,Local partner-New media,"On 2 December 2024, an Israeli drone targeted Abu Iskandar area in Gaza - Sheikh Radwan (Gaza City, Gaza Strip) injuring people. shortly after, Israeli forces, likely warplanes, also targeted Sheikh Radwan clinic in the same location killing 1 and injuring several people.",1,,1759790002
